id,first_name,second_name,team,team_code,element_type,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
155,Maarten,Stekelenburg,8,11,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,3.3,39
156,Leighton,Baines,8,11,2,0,0,7,374,6,91.4,48.4,15.0,0,48,15.4,0,0,0,0.6,50
157,Seamus,Coleman,8,11,2,1,1,66,1838,28,256.0,347.4,139.0,5,339,74.1,6,0,1,1.1,52
158,Phil,Jagielka,8,11,2,0,0,4,143,2,10.2,15.2,4.0,0,23,2.9,1,1,0,0.4,43
159,Ashley,Williams,8,11,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
160,Mason,Holgate,8,11,2,0,0,5,407,9,5.0,92.2,2.0,0,61,9.9,0,0,1,0.1,43
161,Jonjoe,Kenny,8,11,2,0,1,19,703,12,100.0,155.0,12.0,0,130,26.6,1,0,0,0.2,42
162,Michael,Keane,8,11,2,1,2,90,2250,34,78.7,567.8,268.0,14,455,91.8,7,0,2,3.8,49
163,Cuco,Martina,8,11,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
164,Theo,Walcott,8,11,3,3,3,81,1843,31,321.9,319.0,516.0,4,225,115.2,6,0,0,2.7,60
165,Yannick,Bolasie,8,11,3,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,58
166,James,McCarthy,8,11,3,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44
167,Morgan,Schneiderlin,8,11,3,0,1,14,375,7,85.4,73.4,10.0,0,80,16.9,1,0,1,2.0,42
168,Idrissa,Gueye,8,11,3,0,1,49,1962,25,202.2,438.4,68.0,0,309,70.9,6,0,5,0.3,47
169,Tom,Davies,8,11,3,0,0,23,965,19,95.3,122.2,85.0,0,122,30.3,2,0,3,0.1,51
170,Ademola,Lookman,8,11,3,0,2,25,526,6,154.5,113.8,144.0,0,97,41.4,1,0,0,0.1,51
171,Davy,Klaassen,8,11,3,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,60
172,Gylfi,Sigurdsson,8,11,3,11,3,135,2255,34,741.7,716.2,761.0,17,498,221.8,8,0,3,5.5,72
173,Nikola,Vlasic,8,11,3,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
174,Beni,Baningime,8,11,3,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43
175,Dominic,Calvert-Lewin,8,11,4,5,2,61,997,21,90.2,225.0,295.0,3,195,60.0,1,0,3,1.4,53
177,Cenk,Tosun,8,11,4,2,3,43,913,15,128.8,163.0,436.0,0,122,72.5,1,0,3,1.5,65
393,Richarlison,de Andrade,8,11,3,10,2,117,2029,33,221.9,525.4,852.0,11,289,158.8,7,1,3,20.1,66
469,Kevin,Mirallas,8,11,3,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55
470,Sandro,Ramírez,8,11,4,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,54
484,Lucas,Digne,8,11,2,3,3,92,2070,31,749.6,612.8,215.0,12,470,157.7,6,1,4,7.9,53
506,Yerry,Mina,8,11,2,1,0,29,696,9,37.0,160.0,41.0,2,132,23.8,2,0,3,0.5,54
507,Bernard,Anício Caldeira Duarte,8,11,3,0,4,55,1291,14,403.5,226.8,162.0,4,195,79.2,6,0,5,0.2,59
508,André Filipe,Tavares Gomes,8,11,3,1,1,48,1511,22,107.0,210.4,142.0,2,219,45.9,6,0,5,0.2,54
526,Kurt,Zouma,8,11,2,1,2,62,1803,32,76.8,397.0,138.0,7,334,61.5,4,1,3,0.6,50
528,Kieran,Dowell,8,11,3,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
532,Tyias,Browning,8,11,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40
9,Calum,Chambers,9,54,2,1,0,33,1596,32,120.9,400.0,281.0,0,261,80.4,2,0,5,0.9,42
178,Marcus,Bettinelli,9,54,1,0,0,15,630,20,0.0,195.0,0.0,0,114,19.4,0,0,1,0.3,43
180,Tim,Ream,9,54,2,0,0,25,1255,36,41.0,185.8,2.0,3,188,23.0,2,0,0,0.2,42
181,Denis,Odoi,9,54,2,0,1,33,2205,55,140.7,499.8,55.0,2,361,69.8,2,0,4,0.1,44
182,Tom,Cairney,9,54,3,0,1,41,1355,31,361.6,199.0,95.0,0,243,65.7,3,0,0,0.4,46
183,Kevin,McDonald,9,54,3,0,0,11,622,21,65.6,69.0,15.0,0,81,15.0,0,1,2,0.2,42
184,Ryan,Sessegnon,9,54,3,2,6,69,1505,46,351.8,330.8,286.0,3,226,97.1,0,0,0,1.9,60
185,Stefan,Johansen,9,54,3,0,0,11,409,12,33.0,48.8,7.0,0,48,9.0,0,0,4,0.0,50
186,Floyd,Ayité,9,54,3,0,0,8,163,4,6.9,13.2,9.0,0,20,2.7,0,0,0,0.1,43
187,Neeskens,Kebano,9,54,3,0,0,4,58,2,6.7,8.4,4.0,0,14,2.0,0,0,0,0.0,43
188,Rui Pedro,da Rocha Fonte,9,54,3,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44
189,Aboubakar,Kamara,9,54,4,3,0,28,688,17,149.5,150.0,244.0,2,82,53.1,1,0,2,6.8,45
